Internship_ID,Skill Domain
8680,Technical
4977,Non-Technical
10271,Technical
11125,Technical
6750,Technical
10329,Technical
4740,Technical
9576,Technical
6957,Non-Technical
6992,Technical
5347,Non-Technical
10922,Non-Technical
4932,Technical
10845,Technical
4758,Finance
6022,Non-Technical
8048,Non-Technical
10839,Technical
9499,Technical
11215,Technical
5533,Non-Technical
10374,Technical
11021,Non-Technical
9050,Technical
10178,Technical
7995,Technical
9371,Technical
7382,Non-Technical
9559,Technical
8203,Finance
4764,Other
7586,Technical
6846,Technical
10125,Technical
8821,Technical
7339,Technical
6071,Technical
8925,Non-Technical
8125,Other
9567,Technical
6503,Finance
7692,Non-Technical
6822,Technical
4581,Non-Technical
10121,Technical
10131,Technical
9097,Technical
10296,Technical
9533,Technical
10299,Technical
7541,Non-Technical
6983,Non-Technical
7726,Technical
7526,Non-Technical
8439,Finance
11082,Technical
6953,Technical
6265,Non-Technical
10402,Non-Technical
7023,Non-Technical
8940,Technical
8096,Non-Technical
8962,Technical
9578,Technical
6996,Technical
10065,Technical
8080,Technical
9739,Technical
8901,Technical
10869,Technical
7341,Technical
9017,Technical
9959,Technical
6688,Non-Technical
4680,Technical
9618,Non-Technical
8446,Technical
10364,Technical
8916,Non-Technical
7424,Technical
6205,Technical
7576,Management
4869,Technical
6211,Non-Technical
6666,Technical
9596,Technical
8908,Technical
6930,Technical
4860,Management
5501,Management
10252,Technical
9142,Non-Technical
6160,Technical
6031,Technical
7676,Technical
6128,Non-Technical
10260,Technical
10079,Technical
4940,Non-Technical
5958,Non-Technical
4654,Non-Technical
5258,Non-Technical
10313,Non-Technical
6150,Non-Technical
10291,Technical
9622,Technical
6026,Technical
9561,Technical
9419,Non-Technical
5597,Management
8386,Non-Technical
4674,Technical
8085,Technical
11162,Technical
8398,Technical
10835,Technical
9659,Technical
6342,Non-Technical
6279,Technical
7651,Technical
4813,Management
8249,Management
11122,Technical
5352,Management
6267,Finance
9445,Non-Technical
8955,Technical
9608,Technical
4823,Technical
8283,Technical
10061,Technical
10146,Technical
8266,Technical
7371,Technical
5963,Non-Technical
9040,Technical
6010,Technical
6119,Technical
10080,Non-Technical
4944,Technical
7316,Management
7512,Technical
5413,Technical
9657,Non-Technical
10303,Non-Technical
9093,Technical
9479,Technical
10411,Technical
10198,Non-Technical
5280,Technical
10192,Management
6006,Management
10885,Technical
7693,Technical
6114,Finance
10811,Technical
9087,Non-Technical
4737,Non-Technical
5972,Technical
8346,Technical
10864,Technical
7636,Non-Technical
7462,Technical
5394,Technical
7014,Technical
10460,Technical
8853,Technical
5688,Non-Technical
9613,Non-Technical
5603,Technical
10404,Technical
6089,Finance
8036,Technical
7356,Non-Technical
9012,Technical
5002,Non-Technical
8416,Non-Technical
8831,Management
9110,Technical
8431,Technical
8457,Technical
7708,Technical
9372,Management
5993,Non-Technical
9073,Non-Technical
10318,Non-Technical
7414,Technical
9683,Management
6133,Technical
5766,Technical
8422,Technical
4784,Non-Technical
4814,Non-Technical
6984,Technical
9733,Non-Technical
5692,Technical
5498,Non-Technical
6997,Technical
4972,Technical
6805,Non-Technical
4896,Non-Technical
6727,Non-Technical
7049,Technical
8444,Management
9742,Technical
8809,Technical
11069,Non-Technical
9598,Management
10325,Management
8372,Technical
8858,Technical
8952,Technical
4803,Technical
10485,Management
11171,Non-Technical
8110,Technical
5652,Non-Technical
9435,Technical
8965,Technical
10084,Non-Technical
11127,Technical
6164,Technical
9718,Technical
8243,Non-Technical
6942,Non-Technical
8740,Technical
8029,Technical
10802,Technical
11001,Technical
7738,Technical
4603,Non-Technical
7620,Technical
6690,Technical
7468,Technical
8852,Technical
9049,Technical
8163,Technical
8127,Technical
7147,Technical
10081,Technical
8284,Technical
5985,Non-Technical
9765,Technical
7855,Other
10816,Technical
7647,Non-Technical
5355,Technical
5961,Non-Technical
6748,Technical
10504,Technical
6158,Technical
6057,Management
10160,Non-Technical
7783,Technical
8302,Management
10573,Non-Technical
10493,Technical
7470,Technical
6344,Technical
5696,Non-Technical
10948,Technical
10961,Technical
9572,Technical
4785,Management
5348,Finance
5406,Technical
8419,Technical
7516,Technical
9532,Technical
8455,Technical
8176,Non-Technical
8462,Non-Technical
6034,Non-Technical
5486,Technical
10302,Technical
4734,Technical
8141,Technical
10846,Non-Technical
8022,Non-Technical
5950,Technical
10838,Management
9537,Technical
7337,Management
5952,Management
7662,Technical
7513,Non-Technical
8211,Technical
5309,Management
6102,Technical
7466,Technical
8254,Non-Technical
9506,Non-Technical
8326,Technical
10875,Technical
8037,Technical
5433,Management
10592,Technical
10614,Other
11023,Technical
4679,Technical
10903,Technical
10057,Technical
6092,Technical
5991,Technical
10352,Management
10785,Technical
9560,Technical
7607,Technical
10292,Technical
9617,Non-Technical
5441,Technical
7562,Non-Technical
7506,Technical
7837,Non-Technical
4795,Technical
10442,Technical
8132,Non-Technical
4579,Technical
7331,Non-Technical
9775,Technical
5994,Technical
4595,Technical
9540,Technical
4687,Technical
9749,Technical
7323,Technical
7602,Non-Technical
8440,Non-Technical
5809,Technical
11008,Technical
6254,Technical
9575,Technical
8414,Non-Technical
8320,Non-Technical
10117,Technical
8848,Technical
10136,Non-Technical
7384,Non-Technical
10895,Technical
5939,Technical
5571,Technical
7360,Technical
7361,Non-Technical
8038,Technical
9015,Technical
9432,Technical
10517,Technical
10866,Technical
9823,Technical
4950,Technical
7338,Technical
10331,Technical
8794,Technical
11154,Technical
8303,Non-Technical
7355,Technical
7027,Non-Technical
8020,Technical
9450,Technical
9689,Non-Technical
8094,Technical
5313,Technical
10276,Non-Technical
5654,Technical
9092,Technical
6339,Technical
8904,Technical
8214,Technical
5393,Technical
4902,Technical
8732,Technical
10943,Technical
6776,Technical
6940,Technical
4636,Technical
7613,Technical
8394,Technical
5631,Non-Technical
10353,Technical
11140,Management
5349,Technical
8378,Technical
8201,Technical
10366,Technical
6350,Technical
4670,Management
10112,Technical
6920,Non-Technical
9640,Technical
7397,Management
6739,Technical
10523,Technical
8195,Technical
6212,Technical
7029,Non-Technical
6823,Management
9597,Technical
5340,Technical
7595,Technical
9382,Non-Technical
11250,Non-Technical
5083,Technical
7018,Technical
11161,Non-Technical
9564,Non-Technical
10776,Technical
7451,Technical
4985,Non-Technical
8059,Technical
10967,Technical
5295,Technical
6256,Management
5382,Technical
4771,Non-Technical
9063,Technical
10351,Technical
10071,Technical
10305,Technical
9680,Non-Technical
8072,Non-Technical
10266,Technical
9779,Technical
5344,Technical
6857,Technical
10156,Non-Technical
8822,Technical
10078,Technical
10145,Finance
11040,Management
6166,Non-Technical
8031,Non-Technical
6782,Non-Technical
9383,Non-Technical
9516,Technical
8191,Technical
8807,Technical
11175,Non-Technical
8285,Technical
6392,Technical
8409,Technical
6044,Technical
10925,Non-Technical
8864,Technical
11319,Non-Technical
7503,Technical
9030,Technical
6685,Technical
4630,Technical
6189,Non-Technical
6225,Technical
5492,Technical
7181,Non-Technical
10916,Technical
9393,Technical
10228,Technical
6813,Technical
10361,Non-Technical
10774,Technical
8258,Technical
9013,Non-Technical
8893,Technical
5276,Non-Technical
6361,Technical
10997,Management
9917,Finance
4727,Technical
11199,Technical
6553,Technical
8736,Technical
8371,Technical
4665,Technical
5984,Technical
8791,Technical
9415,Technical
7042,Technical
8856,Technical
10566,Technical
8379,Non-Technical
7712,Technical
