Student_ID,Student Domain
7674287,Technical
7670080,Technical
7695797,Technical
78663092,Technical
7697553,Technical
78659782,Other
78665791,Non-Technical
7654567,Technical
7702296,Technical
7660165,Technical
78654636,Technical
7706777,Technical
7697676,Technical
7654752,Technical
7657600,Technical
7706210,Technical
7701130,Other
7697569,Technical
7659927,Technical
7710160,Non-Technical
7684801,Technical
7686144,Technical
78668632,Technical
7683720,Technical
7680447,Finance
78658573,Other
7710555,Technical
78668746,Technical
7654766,Technical
78665648,Technical
7705919,Technical
7655346,Technical
7690842,Non-Technical
7676188,Technical
78667754,Other
7684495,Technical
7673866,Technical
7698638,Technical
7657696,Technical
78663304,Technical
7690459,Technical
78668532,Technical
7666590,Technical
78662413,Technical
7658248,Management
78657447,Technical
7656094,Technical
78664238,Management
7654664,Technical
7669661,Other
78661890,Technical
7687106,Management
7668879,Technical
7662699,Technical
7684690,Other
7709388,Technical
7699400,Technical
7678642,Finance
7694927,Technical
7701230,Management
78665245,Management
7691898,Technical
7659190,Other
7698501,Technical
7678800,Technical
7676213,Non-Technical
7698355,Non-Technical
7710451,Technical
7666091,Technical
78659161,Technical
7681534,Technical
7657572,Other
7692373,Technical
7679136,Management
7659692,Technical
7685388,Technical
78664415,Management
78655927,Non-Technical
7664605,Technical
7687667,Non-Technical
7669264,Other
7693020,Technical
7676267,Technical
7683717,Non-Technical
7671413,Technical
7662903,Other
7681223,Other
7684464,Non-Technical
7680052,Non-Technical
7687633,Technical
7671073,Non-Technical
78666018,Non-Technical
78665344,Technical
78658465,Other
7670321,Non-Technical
78659622,Technical
7659451,Technical
7680667,Technical
7679815,Non-Technical
7707679,Technical
7661750,Technical
7662375,Technical
7678858,Technical
7678324,Technical
7670156,Technical
7683944,Technical
78663691,Other
78658987,Technical
7694646,Technical
7687796,Technical
7694807,Technical
7695624,Technical
7676008,Technical
7655119,Other
78665696,Other
7707592,Non-Technical
7654534,Technical
78654502,Technical
7672742,Technical
7711284,Other
7680405,Non-Technical
78657612,Technical
7656024,Technical
7679440,Other
7656123,Technical
7687689,Non-Technical
7669991,Technical
78665240,Technical
7700127,Non-Technical
78665504,Other
78658550,Technical
7708160,Management
78658971,Technical
7693260,Non-Technical
7663658,Technical
78657626,Technical
7661890,Non-Technical
7702277,Other
78655767,Technical
7706585,Technical
7679689,Finance
7700627,Technical
78658111,Non-Technical
7678631,Non-Technical
7698245,Technical
7667081,Non-Technical
7667388,Other
7654679,Technical
78661740,Technical
7662980,Non-Technical
7664731,Technical
7698752,Technical
7674301,Technical
7663630,Non-Technical
7706490,Other
7685120,Non-Technical
7699206,Other
7659727,Management
78658694,Other
7669107,Technical
7666028,Technical
7684944,Other
7692983,Other
7700487,Management
7710080,Management
7663026,Non-Technical
7709535,Non-Technical
7688046,Non-Technical
7657026,Other
78658990,Technical
7687105,Technical
7680306,Non-Technical
7654666,Technical
7656830,Non-Technical
7705929,Non-Technical
7663841,Other
7694035,Technical
7679053,Technical
7701454,Technical
78663786,Non-Technical
7695537,Non-Technical
78666073,Other
78659699,Non-Technical
78660024,Technical
7659005,Other
7710161,Technical
78658529,Non-Technical
7672533,Other
7708495,Other
7665690,Technical
7693103,Technical
7695936,Technical
7654994,Technical
7657237,Non-Technical
7701735,Technical
78656883,Technical
7691559,Other
7699720,Technical
78658904,Other
7706371,Technical
7677966,Technical
7710448,Technical
7676654,Other
7694387,Technical
7710994,Technical
7656980,Technical
7693682,Management
78656919,Other
7698002,Technical
78658080,Technical
7663705,Technical
7665125,Technical
78665993,Technical
7695996,Non-Technical
7672804,Non-Technical
78659319,Non-Technical
78656553,Management
78659054,Technical
7676477,Technical
7709201,Technical
7698985,Technical
7665860,Management
78654803,Technical
7669066,Non-Technical
78664384,Technical
7655351,Technical
7699764,Technical
7658925,Non-Technical
7681847,Technical
78654355,Technical
7663647,Technical
7708452,Technical
7683866,Technical
7693536,Technical
7677220,Non-Technical
78658748,Technical
7687113,Non-Technical
7702339,Technical
7700794,Technical
78664676,Technical
7692504,Other
78657105,Technical
7665957,Technical
7709627,Technical
7661963,Non-Technical
7684754,Technical
7657147,Other
7701849,Technical
7688721,Technical
7672184,Technical
7696068,Other
7680506,Technical
7664482,Other
7692991,Technical
7699513,Technical
7656177,Technical
7654566,Technical
7703502,Technical
7666421,Non-Technical
7709625,Technical
7655242,Other
7710456,Technical
78657047,Other
78658438,Technical
7679030,Technical
7670483,Technical
7694985,Management
7692170,Technical
7678479,Technical
78659561,Technical
78661853,Technical
78655290,Technical
7666399,Non-Technical
7664015,Technical
7662856,Technical
7707736,Technical
7686680,Non-Technical
7709751,Management
7684889,Technical
7692294,Other
7671637,Non-Technical
7674515,Finance
7658629,Non-Technical
